train_accuracy,test_accuracy,train_loss,test_loss,model,epochs
58.96,67.45,1.0044481892585755,0.6777743902206421,resnet18_4cls_128dim_1,1
67.96,68.95,0.7186041847229004,0.6831297597885132,resnet18_4cls_128dim_1,2
73.515,73.175,0.6086470119476318,0.6221463565826416,resnet18_4cls_128dim_1,3
77.18,80.55,0.5490601994514466,0.4458722810745239,resnet18_4cls_128dim_1,4
79.34,80.125,0.5058516613006592,0.4486401038169861,resnet18_4cls_128dim_1,5
81.51,84.075,0.458119061088562,0.39644685316085815,resnet18_4cls_128dim_1,6
83.37,78.65,0.416961431312561,0.498660343170166,resnet18_4cls_128dim_1,7
84.585,80.675,0.38750432653427125,0.4804221239089966,resnet18_4cls_128dim_1,8
85.84,81.1,0.36150543050765993,0.43133916091918945,resnet18_4cls_128dim_1,9
86.82,86.025,0.3359330964326859,0.36270086812973024,resnet18_4cls_128dim_1,10
87.905,84.525,0.31100485367774966,0.39196899366378785,resnet18_4cls_128dim_1,11
88.005,81.125,0.30368223876953127,0.48108331823349,resnet18_4cls_128dim_1,12
